,num__Customer_care_calls,num__Customer_rating,num__Cost_of_the_Product,num__Prior_purchases,num__Discount_offered,num__Weight_in_gms,cat__Warehouse_block,cat__Mode_of_Shipment,cat__Product_importance,cat__Gender,Reached.on.Time_Y.N
107,-0.05876424369808559,1.418221125008185,0.11098954634889263,-0.385391186849785,0.7817456862716805,-0.9587081910124576,4.0,2.0,0.0,1.0,1
5594,-0.9271441136243118,-1.4161962781816433,0.19373463372568417,-0.385391186849785,-0.4534339961642725,1.1897869658710736,0.0,1.0,1.0,0.0,1
6997,-0.9271441136243118,-0.7075919273841863,0.09030327450469475,0.2683049461214632,-0.6387109485296655,0.25565863679127737,4.0,0.0,1.0,0.0,0
3984,0.8096156262281407,-1.4161962781816433,-1.047441676926189,0.9220010790927115,-0.7622289167732608,0.6402997134711934,3.0,0.0,1.0,0.0,0
3111,0.8096156262281407,0.709616774210728,0.37991108032346516,-1.0390873198210333,1.8934074004640382,-0.735250041703173,1.0,2.0,2.0,0.0,1
4040,-0.9271441136243118,-0.7075919273841863,0.35922480847926724,-0.385391186849785,-0.5769519644078678,0.35700850778947746,0.0,2.0,2.0,0.0,0
3013,0.8096156262281407,0.709616774210728,-0.5923436963538354,-0.385391186849785,-0.14463907555528424,-0.04778043481176752,4.0,0.0,2.0,0.0,1
6606,-0.05876424369808559,0.709616774210728,-1.5025396574985423,-0.385391186849785,-0.39167501204247485,-1.2371150655617302,3.0,2.0,2.0,0.0,1
4219,0.8096156262281407,0.709616774210728,1.103930594870391,-0.385391186849785,-0.7004699326514631,1.2777049262550544,4.0,2.0,2.0,1.0,0
8749,-0.05876424369808559,-0.7075919273841863,-1.6059710167195318,-0.385391186849785,-0.5151929802860702,1.420571611879023,4.0,1.0,2.0,0.0,0
5664,-0.05876424369808559,1.418221125008185,0.11098954634889263,0.2683049461214632,-0.7622289167732608,0.509643855678333,3.0,2.0,2.0,0.0,1
5369,-0.05876424369808559,-0.7075919273841863,-0.2820496186908672,-0.385391186849785,-0.4534339961642725,1.3448644793261508,4.0,2.0,1.0,0.0,0
7495,-0.05876424369808559,-1.4161962781816433,0.586773798765444,0.9220010790927115,-0.3299160279206772,-1.572302289525657,4.0,2.0,1.0,0.0,0
9885,0.8096156262281407,-1.4161962781816433,1.3314795851565677,0.9220010790927115,-0.4534339961642725,-1.5063638192376714,1.0,2.0,1.0,1.0,1
1851,-0.9271441136243118,-1.4161962781816433,-0.861265230328408,4.190481743948953,0.10239686093190635,-1.536280347423887,1.0,2.0,2.0,0.0,1
1123,-0.9271441136243118,1.418221125008185,0.6074600706096419,-0.385391186849785,2.510997241682015,-0.4299793459254619,4.0,2.0,2.0,0.0,1
3043,-0.9271441136243118,-0.7075919273841863,1.31079331331237,-0.385391186849785,2.263961305194824,0.2043731599006219,4.0,2.0,2.0,0.0,1
3369,-0.9271441136243118,0.0010124234132708424,0.7936365172074228,0.9220010790927115,-0.26815704379887956,-1.1424811498706398,1.0,2.0,2.0,0.0,0
6828,0.8096156262281407,0.709616774210728,0.6902051579864334,1.5756972120639596,-0.20639805967708189,-1.0044987953791142,3.0,1.0,1.0,0.0,1
10968,-0.05876424369808559,0.709616774210728,0.9591266919610059,0.9220010790927115,-0.5769519644078678,-1.1937666267612952,3.0,0.0,2.0,0.0,0
3088,-0.05876424369808559,-0.7075919273841863,0.1523620900372884,-1.0390873198210333,-0.7622289167732608,-0.3866309071250269,2.0,2.0,0.0,1.0,1
